f='./input.txt'
Performing Design Space Exploration...
Total: 4059 rotations
L85 Dial 18
L40 Dial 33
L6 Dial 93
L187 Dial 87
L51 Dial 0
L23 Dial 49
L626 Dial 26
R88 Dial 0
R69 Dial 88
L91 Dial 57
L6 Dial 66
L9 Dial 60
L34 Dial 51
R28 Dial 17
L734 Dial 45
R71 Dial 11
R18 Dial 82
L10 Dial 0
L876 Dial 90
R24 Dial 14
L38 Dial 38
L843 Dial 0
L39 Dial 57
L384 Dial 18
L34 Dial 34
R599 Dial 0
L99 Dial 99
L31 Dial 0
R31 Dial 69
R67 Dial 0
R33 Dial 67
L375 Dial 0
R32 Dial 25
R89 Dial 57
L46 Dial 46
L23 Dial 0
R476 Dial 77
R88 Dial 53
R94 Dial 41
L93 Dial 35
R75 Dial 42
R96 Dial 17
R99 Dial 13
L12 Dial 12
L8 Dial 0
R808 Dial 92
L31 Dial 0
R91 Dial 69
L460 Dial 60
L89 Dial 0
L61 Dial 11
L324 Dial 50
L88 Dial 26
L636 Dial 38
L6 Dial 2
L4 Dial 96
R8 Dial 92
R95 Dial 0
L30 Dial 95
L65 Dial 65
R870 Dial 0
L39 Dial 70
L81 Dial 31
R47 Dial 50
L97 Dial 97
L30 Dial 0
L349 Dial 70
R410 Dial 21
R16 Dial 31
R181 Dial 47
R40 Dial 28
R710 Dial 68
L68 Dial 78
L10 Dial 10
L47 Dial 0
L70 Dial 53
L183 Dial 83
L18 Dial 0
R18 Dial 82
R57 Dial 0
L64 Dial 57
L55 Dial 93
L6 Dial 38
L32 Dial 32
L50 Dial 0
R57 Dial 50
R79 Dial 7
R4 Dial 86
L390 Dial 90
R94 Dial 0
L372 Dial 94
R855 Dial 22
L63 Dial 77
L7 Dial 14
R491 Dial 7
R88 Dial 98
L6 Dial 86
L704 Dial 80
R20 Dial 76
L96 Dial 96
R33 Dial 0
L27 Dial 33
R261 Dial 6
L129 Dial 67
L87 Dial 38
L58 Dial 51
R2 Dial 93
R32 Dial 95
L319 Dial 27
R72 Dial 8
L22 Dial 80
R172 Dial 58
R75 Dial 30
L22 Dial 5
R88 Dial 83
L71 Dial 71
L19 Dial 0
L81 Dial 81
L19 Dial 0
L81 Dial 81
L30 Dial 0
L70 Dial 70
R37 Dial 0
R63 Dial 37
L25 Dial 0
L75 Dial 75
R70 Dial 0
R125 Dial 70
R353 Dial 95
R954 Dial 48
R38 Dial 2
L38 Dial 40
L58 Dial 2
R38 Dial 44
R90 Dial 82
L872 Dial 72
L317 Dial 0
L39 Dial 83
R477 Dial 44
R79 Dial 21
R43 Dial 0
L338 Dial 43
L79 Dial 5
R474 Dial 26
L45 Dial 0
L98 Dial 55
R43 Dial 57
L95 Dial 0
L5 Dial 5
L56 Dial 0
L644 Dial 44
R1 Dial 0
R61 Dial 1
L55 Dial 62
L29 Dial 7
L29 Dial 78
R56 Dial 49
R692 Dial 5
R58 Dial 97
L73 Dial 55
R86 Dial 82
L30 Dial 68
L54 Dial 38
R85 Dial 84
L69 Dial 69
L606 Dial 0
R6 Dial 94
L60 Dial 0
L77 Dial 40
L14 Dial 63
R51 Dial 49
R16 Dial 0
R5 Dial 16
L35 Dial 21
R14 Dial 86
L866 Dial 0
R66 Dial 34
L3 Dial 0
L57 Dial 97
R99 Dial 40
L39 Dial 39
L50 Dial 0
L42 Dial 50
R697 Dial 8
L4 Dial 5
R70 Dial 1
R31 Dial 71
L88 Dial 2
L35 Dial 14
R58 Dial 79
L796 Dial 37
R44 Dial 41
L22 Dial 85
L63 Dial 63
R1 Dial 0
L598 Dial 1
L66 Dial 3
L37 Dial 37
L617 Dial 0
R17 Dial 83
R92 Dial 0
R426 Dial 92
L98 Dial 18
L45 Dial 20
R816 Dial 75
L91 Dial 91
L49 Dial 0
L697 Dial 51
L57 Dial 54
L93 Dial 97
R206 Dial 4
R90 Dial 10
R891 Dial 0
R9 Dial 91
R97 Dial 0
L19 Dial 97
R122 Dial 78
L34 Dial 0
R852 Dial 66
R76 Dial 18
R960 Dial 94
R24 Dial 54
R31 Dial 78
R84 Dial 9
L93 Dial 93
L51 Dial 0
R551 Dial 49
R422 Dial 0
L83 Dial 22
R83 Dial 39
R25 Dial 22
R192 Dial 47
R161 Dial 39
L8 Dial 0
L7 Dial 92
R59 Dial 85
R56 Dial 44
L384 Dial 0
L16 Dial 16
L20 Dial 0
L405 Dial 80
L75 Dial 75
L90 Dial 0
R390 Dial 10
L46 Dial 0
L65 Dial 54
R94 Dial 89
L56 Dial 83
R24 Dial 27
R49 Dial 51
L582 Dial 0
L18 Dial 18
L656 Dial 0
R43 Dial 44
R199 Dial 87
L60 Dial 86
R99 Dial 26
L93 Dial 25
L568 Dial 32
L64 Dial 64
R76 Dial 0
R85 Dial 76
R34 Dial 61
L95 Dial 95
L450 Dial 0
L850 Dial 50
L44 Dial 0
R62 Dial 56
R57 Dial 18
L63 Dial 75
R63 Dial 12
L22 Dial 75
L18 Dial 53
L935 Dial 35
L167 Dial 0
R67 Dial 33
L6 Dial 0
L894 Dial 94
R39 Dial 0
R57 Dial 39
R55 Dial 96
R44 Dial 51
R51 Dial 95
L348 Dial 46
L52 Dial 98
R22 Dial 46
L31 Dial 68
L14 Dial 37
L16 Dial 23
R43 Dial 7
R9 Dial 50
L43 Dial 59
L81 Dial 16
R73 Dial 35
R47 Dial 8
L555 Dial 55
L51 Dial 0
R139 Dial 49
L88 Dial 88
R891 Dial 0
L392 Dial 91
R43 Dial 99
R45 Dial 42
R19 Dial 87
R988 Dial 6
R86 Dial 94
R20 Dial 80
L49 Dial 0
L51 Dial 51
R10 Dial 0
L67 Dial 10
R76 Dial 43
R81 Dial 19
R797 Dial 0
L97 Dial 97
R204 Dial 0
L4 Dial 4
L178 Dial 0
R13 Dial 22
L635 Dial 35
R26 Dial 0
L8 Dial 26
R82 Dial 18
L10 Dial 0
L290 Dial 90
R75 Dial 0
L75 Dial 75
L70 Dial 0
R792 Dial 30
R78 Dial 22
R28 Dial 0
L377 Dial 28
L51 Dial 51
R9 Dial 0
R73 Dial 9
R664 Dial 82
R83 Dial 46
L41 Dial 29
L22 Dial 88
R34 Dial 66
L644 Dial 0
R14 Dial 56
R37 Dial 70
L796 Dial 7
R89 Dial 11
L14 Dial 0
R14 Dial 86
R99 Dial 0
L2 Dial 99
R3 Dial 97
R75 Dial 0
R731 Dial 75
R8 Dial 6
L14 Dial 14
R15 Dial 0
R85 Dial 15
L587 Dial 0
R87 Dial 13
L58 Dial 0
L11 Dial 42
R89 Dial 31
R680 Dial 20
L101 Dial 0
R6 Dial 99
L79 Dial 5
R82 Dial 26
R24 Dial 8
R68 Dial 32
R36 Dial 0
R99 Dial 36
R84 Dial 35
L19 Dial 19
R18 Dial 0
L13 Dial 18
R13 Dial 5
R90 Dial 18
L8 Dial 8
L53 Dial 0
R730 Dial 47
R90 Dial 77
L41 Dial 67
L26 Dial 26
R87 Dial 0
L29 Dial 87
R42 Dial 58
R928 Dial 0
L9 Dial 28
R68 Dial 19
R89 Dial 87
L76 Dial 76
L261 Dial 0
R61 Dial 39
R40 Dial 0
L80 Dial 40
L25 Dial 60
R6 Dial 35
L91 Dial 41
R51 Dial 50
L29 Dial 1
R28 Dial 72
R83 Dial 0
R557 Dial 83
R53 Dial 40
R64 Dial 93
L57 Dial 57
R95 Dial 0
R19 Dial 95
L60 Dial 14
R46 Dial 54
L94 Dial 0
R63 Dial 6
R10 Dial 69
L79 Dial 79
L3 Dial 0
L97 Dial 97
R17 Dial 0
R94 Dial 17
R489 Dial 11
L27 Dial 0
R481 Dial 73
L45 Dial 54
L842 Dial 9
R631 Dial 67
R45 Dial 98
R23 Dial 43
L66 Dial 66
R76 Dial 0
L970 Dial 76
L6 Dial 6
R67 Dial 0
L67 Dial 67
R39 Dial 0
L63 Dial 39
L76 Dial 76
R7 Dial 0
L511 Dial 7
L96 Dial 96
R23 Dial 0
R669 Dial 23
R75 Dial 92
L67 Dial 67
R962 Dial 0
L64 Dial 62
L176 Dial 98
L93 Dial 22
R76 Dial 29
L417 Dial 5
L56 Dial 88
L301 Dial 32
L531 Dial 31
R81 Dial 0
R88 Dial 81
L48 Dial 69
R379 Dial 21
L39 Dial 0
R39 Dial 61
L532 Dial 0
L17 Dial 68
L32 Dial 51
R81 Dial 19
R46 Dial 0
L84 Dial 46
L62 Dial 62
L13 Dial 0
R129 Dial 87
R5 Dial 16
L717 Dial 21
L304 Dial 4
R44 Dial 0
R56 Dial 44
L35 Dial 0
L27 Dial 65
L20 Dial 38
R35 Dial 18
R85 Dial 53
L438 Dial 38
L93 Dial 0
R359 Dial 7
L266 Dial 66
L87 Dial 0
R82 Dial 13
L88 Dial 95
R41 Dial 7
R52 Dial 48
L611 Dial 0
L389 Dial 89
R233 Dial 0
L33 Dial 33
R46 Dial 0
R54 Dial 46
R6 Dial 0
L46 Dial 6
L775 Dial 60
L33 Dial 85
R836 Dial 52
L88 Dial 88
L47 Dial 0
R38 Dial 53
L4 Dial 91
L387 Dial 87
L833 Dial 0
R326 Dial 67
L93 Dial 93
R98 Dial 0
L354 Dial 98
R56 Dial 44
R26 Dial 0
R74 Dial 26
R527 Dial 0
R487 Dial 27
R119 Dial 14
L21 Dial 33
L790 Dial 12
R34 Dial 22
R644 Dial 56
R3 Dial 0
R41 Dial 3
R643 Dial 44
L87 Dial 87
R872 Dial 0
R28 Dial 72
L343 Dial 0
R766 Dial 57
L123 Dial 23
R91 Dial 0
R59 Dial 91
L82 Dial 50
L186 Dial 68
R45 Dial 82
R71 Dial 27
R52 Dial 98
L272 Dial 50
R870 Dial 78
L61 Dial 48
R2 Dial 87
L97 Dial 89
L92 Dial 92
L79 Dial 0
L52 Dial 21
R31 Dial 69
R53 Dial 0
L53 Dial 53
L46 Dial 0
R90 Dial 54
L44 Dial 44
L774 Dial 0
R74 Dial 26
L59 Dial 0
L15 Dial 41
L812 Dial 26
L14 Dial 14
R67 Dial 0
R23 Dial 67
R610 Dial 90
L4 Dial 0
R4 Dial 96
L30 Dial 0
R91 Dial 70
R99 Dial 61
L60 Dial 60
L36 Dial 0
R13 Dial 64
L4 Dial 77
L73 Dial 73
R422 Dial 0
R533 Dial 22
L61 Dial 55
R6 Dial 94
L894 Dial 0
R39 Dial 6
L45 Dial 45
L45 Dial 0
R73 Dial 55
L28 Dial 28
L18 Dial 0
L82 Dial 82
R72 Dial 0
R28 Dial 72
R22 Dial 0
R59 Dial 22
L52 Dial 81
R43 Dial 29
L83 Dial 72
R63 Dial 89
L52 Dial 52
L10 Dial 0
R78 Dial 90
L68 Dial 68
L24 Dial 0
R24 Dial 76
R53 Dial 0
L53 Dial 53
L6 Dial 0
L41 Dial 94
R47 Dial 53
L57 Dial 0
L11 Dial 43
R68 Dial 32
L247 Dial 0
R93 Dial 53
R43 Dial 46
R43 Dial 89
L5 Dial 32
R51 Dial 27
R66 Dial 78
L444 Dial 44
L63 Dial 0
R75 Dial 37
R14 Dial 12
L79 Dial 26
R1 Dial 47
L838 Dial 48
R90 Dial 10
R12 Dial 0
L173 Dial 12
R27 Dial 39
L78 Dial 66
L97 Dial 88
L5 Dial 91
R14 Dial 86
L98 Dial 0
L73 Dial 2
L51 Dial 29
L78 Dial 78
L78 Dial 0
R62 Dial 22
R58 Dial 84
R90 Dial 42
R7 Dial 32
R9 Dial 39
R94 Dial 48
R25 Dial 42
R57 Dial 67
R96 Dial 24
L91 Dial 20
L81 Dial 29
L79 Dial 48
R99 Dial 69
L68 Dial 68
R33 Dial 0
R80 Dial 33
L50 Dial 13
R88 Dial 63
L1 Dial 51
L93 Dial 50
R343 Dial 57
R85 Dial 0
R7 Dial 85
L92 Dial 92
L42 Dial 0
L75 Dial 58
R79 Dial 83
L26 Dial 62
R264 Dial 36
L63 Dial 0
R37 Dial 37
L630 Dial 74
R77 Dial 44
R14 Dial 21
L39 Dial 35
R555 Dial 96
R36 Dial 51
L87 Dial 87
R1 Dial 0
R83 Dial 1
L240 Dial 84
R99 Dial 44
L27 Dial 43
R987 Dial 16
R97 Dial 3
L3 Dial 0
L13 Dial 97
L84 Dial 84
R75 Dial 0
R50 Dial 75
R449 Dial 25
L585 Dial 74
L33 Dial 89
R64 Dial 56
R12 Dial 20
L32 Dial 32
L321 Dial 0
R53 Dial 79
R10 Dial 32
R58 Dial 42
L88 Dial 0
L12 Dial 12
L199 Dial 0
R99 Dial 1
R99 Dial 0
L31 Dial 99
R632 Dial 68
L49 Dial 0
R70 Dial 51
R82 Dial 21
L703 Dial 3
L187 Dial 0
L86 Dial 13
R44 Dial 27
L10 Dial 71
R339 Dial 61
R841 Dial 0
L81 Dial 41
L60 Dial 60
R891 Dial 0
R39 Dial 91
R5 Dial 30
L3 Dial 35
L283 Dial 32
R51 Dial 49
L456 Dial 0
L6 Dial 44
L87 Dial 38
R165 Dial 51
L97 Dial 16
R15 Dial 19
R86 Dial 34
R80 Dial 20
R12 Dial 0
R88 Dial 12
R65 Dial 0
R17 Dial 65
L725 Dial 82
R43 Dial 57
R332 Dial 0
L20 Dial 32
R816 Dial 12
R145 Dial 28
L73 Dial 73
R125 Dial 0
L80 Dial 25
R29 Dial 45
R26 Dial 74
L42 Dial 0
L58 Dial 58
L620 Dial 0
L76 Dial 80
R33 Dial 4
L17 Dial 37
L42 Dial 20
L378 Dial 78
L20 Dial 0
R33 Dial 80
L13 Dial 13
L86 Dial 0
L834 Dial 14
L91 Dial 80
L55 Dial 89
L59 Dial 34
R21 Dial 75
R966 Dial 96
L73 Dial 62
R11 Dial 89
R725 Dial 0
R75 Dial 25
L2 Dial 0
R2 Dial 98
R99 Dial 0
R18 Dial 99
R80 Dial 17
L97 Dial 97
R42 Dial 0
L42 Dial 42
L66 Dial 0
R43 Dial 34
R51 Dial 77
R2 Dial 28
L30 Dial 30
L55 Dial 0
L868 Dial 45
L15 Dial 77
R38 Dial 62
R324 Dial 0
L33 Dial 24
L65 Dial 91
R74 Dial 26
L78 Dial 0
L22 Dial 22
L882 Dial 0
R82 Dial 18
L61 Dial 0
R293 Dial 39
L40 Dial 32
R8 Dial 92
L51 Dial 0
L49 Dial 49
L96 Dial 0
L4 Dial 4
L55 Dial 0
R74 Dial 45
L657 Dial 19
R27 Dial 62
R92 Dial 89
R5 Dial 81
L86 Dial 86
R50 Dial 0
R8 Dial 50
R42 Dial 58
R93 Dial 0
L483 Dial 93
L10 Dial 10
R82 Dial 0
L247 Dial 82
L93 Dial 35
R58 Dial 42
L502 Dial 0
R37 Dial 98
R65 Dial 35
L138 Dial 0
R988 Dial 62
L50 Dial 50
R32 Dial 0
R94 Dial 32
R74 Dial 26
L28 Dial 0
L44 Dial 72
L876 Dial 28
L1 Dial 52
L51 Dial 51
L15 Dial 0
R84 Dial 85
L69 Dial 69
L17 Dial 0
R76 Dial 83
R21 Dial 59
L80 Dial 80
L19 Dial 0
R87 Dial 81
L22 Dial 68
R74 Dial 46
R80 Dial 20
R33 Dial 0
R87 Dial 33
R770 Dial 20
L70 Dial 90
L20 Dial 20
L92 Dial 0
L26 Dial 8
L98 Dial 82
L84 Dial 84
R98 Dial 0
L34 Dial 98
R27 Dial 64
R9 Dial 91
L79 Dial 0
L21 Dial 21
L90 Dial 0
L190 Dial 10
L62 Dial 20
L67 Dial 58
R538 Dial 91
R58 Dial 29
R2 Dial 87
L89 Dial 89
L973 Dial 0
L27 Dial 27
R44 Dial 0
L44 Dial 44
R558 Dial 0
L362 Dial 58
R97 Dial 96
L67 Dial 93
R71 Dial 26
R3 Dial 97
L23 Dial 0
R748 Dial 77
L625 Dial 25
L50 Dial 0
R50 Dial 50
L69 Dial 0
R69 Dial 31
R15 Dial 0
L996 Dial 15
L19 Dial 19
L979 Dial 0
L122 Dial 21
R1 Dial 99
R656 Dial 0
R330 Dial 56
L29 Dial 86
L94 Dial 57
R37 Dial 63
L26 Dial 0
L74 Dial 74
L93 Dial 0
R20 Dial 7
R58 Dial 27
L42 Dial 85
R21 Dial 43
L264 Dial 64
L3 Dial 0
L963 Dial 97
R25 Dial 34
L758 Dial 59
L57 Dial 1
L44 Dial 44
R30 Dial 0
R6 Dial 30
L19 Dial 36
R64 Dial 17
R2 Dial 81
L83 Dial 83
L84 Dial 0
L96 Dial 16
L75 Dial 20
R55 Dial 45
R44 Dial 0
L92 Dial 44
L76 Dial 52
R435 Dial 76
R289 Dial 11
R99 Dial 0
R1 Dial 99
L178 Dial 0
R78 Dial 22
L231 Dial 0
L69 Dial 69
L35 Dial 0
R232 Dial 65
R8 Dial 97
R7 Dial 5
L84 Dial 12
L22 Dial 28
L6 Dial 6
R90 Dial 0
R10 Dial 90
L968 Dial 0
R368 Dial 32
L87 Dial 0
R76 Dial 13
L32 Dial 89
L157 Dial 57
R373 Dial 0
R572 Dial 73
R90 Dial 45
R5 Dial 35
L46 Dial 40
R24 Dial 94
R72 Dial 18
L90 Dial 90
L63 Dial 0
L63 Dial 37
R26 Dial 74
R727 Dial 0
R52 Dial 27
R221 Dial 79
L22 Dial 0
L18 Dial 78
L67 Dial 60
R824 Dial 93
L17 Dial 17
L78 Dial 0
L89 Dial 22
R17 Dial 33
R50 Dial 50
L355 Dial 0
L94 Dial 45
L51 Dial 51
L68 Dial 0
R663 Dial 32
L76 Dial 95
L88 Dial 19
L83 Dial 31
R52 Dial 48
R48 Dial 0
L48 Dial 48
R40 Dial 0
R27 Dial 40
L67 Dial 67
R433 Dial 0
L83 Dial 33
L37 Dial 50
R87 Dial 13
L28 Dial 0
L77 Dial 72
L18 Dial 95
R73 Dial 77
L8 Dial 50
R44 Dial 42
R22 Dial 86
L91 Dial 8
R83 Dial 17
L63 Dial 0
L37 Dial 37
L4 Dial 0
L32 Dial 96
L64 Dial 64
L137 Dial 0
R37 Dial 63
R25 Dial 0
R81 Dial 25
R94 Dial 6
R54 Dial 0
L76 Dial 54
R11 Dial 78
L189 Dial 89
L78 Dial 0
L22 Dial 22
L10 Dial 0
L345 Dial 90
R28 Dial 45
L32 Dial 73
R65 Dial 41
R25 Dial 6
R14 Dial 31
L45 Dial 45
L145 Dial 0
R20 Dial 55
L62 Dial 75
R19 Dial 13
L72 Dial 32
R64 Dial 60
L24 Dial 24
L9 Dial 0
R9 Dial 91
R5 Dial 0
R149 Dial 5
R512 Dial 54
L90 Dial 66
R524 Dial 76
R815 Dial 0
R885 Dial 15
R87 Dial 0
L44 Dial 87
R38 Dial 43
R19 Dial 81
L81 Dial 0
R19 Dial 19
R62 Dial 38
R83 Dial 0
R17 Dial 83
L921 Dial 0
R62 Dial 79
L63 Dial 41
L78 Dial 78
R41 Dial 0
L41 Dial 41
L544 Dial 0
L22 Dial 56
L34 Dial 34
R97 Dial 0
R91 Dial 97
R20 Dial 88
R92 Dial 8
L88 Dial 0
L50 Dial 12
R38 Dial 62
R98 Dial 0
L98 Dial 98
R10 Dial 0
L310 Dial 10
L67 Dial 0
L33 Dial 33
R81 Dial 0
R89 Dial 81
R7 Dial 70
R70 Dial 77
L71 Dial 47
R99 Dial 76
R25 Dial 75
L55 Dial 0
R255 Dial 45
L20 Dial 0
R28 Dial 80
L66 Dial 8
L88 Dial 42
R7 Dial 54
L279 Dial 61
R818 Dial 82
R9 Dial 0
L82 Dial 9
L76 Dial 27
L78 Dial 51
L73 Dial 73
R8 Dial 0
L8 Dial 8
R787 Dial 0
R20 Dial 87
L92 Dial 7
R62 Dial 15
R623 Dial 77
L40 Dial 0
L60 Dial 60
L34 Dial 0
R34 Dial 66
L61 Dial 0
L139 Dial 39
R76 Dial 0
R390 Dial 76
R24 Dial 66
L90 Dial 90
R542 Dial 0
L53 Dial 42
R74 Dial 89
R1 Dial 63
R84 Dial 64
L48 Dial 48
L41 Dial 0
L45 Dial 59
L14 Dial 14
L32 Dial 0
R32 Dial 68
R59 Dial 0
L21 Dial 59
L38 Dial 38
L301 Dial 0
L399 Dial 99
L404 Dial 0
L92 Dial 96
L4 Dial 4
R70 Dial 0
R73 Dial 70
R56 Dial 43
R901 Dial 99
R346 Dial 0
R71 Dial 46
L17 Dial 17
R33 Dial 0
R67 Dial 33
L81 Dial 0
L19 Dial 19
R36 Dial 0
R18 Dial 36
L54 Dial 54
R981 Dial 0
L3 Dial 81
R840 Dial 78
L91 Dial 18
L27 Dial 27
R54 Dial 0
L87 Dial 54
R33 Dial 67
R88 Dial 0
R19 Dial 88
L22 Dial 7
R38 Dial 85
L90 Dial 23
R11 Dial 33
L44 Dial 44
L73 Dial 0
R737 Dial 27
L64 Dial 64
L92 Dial 0
L8 Dial 8
R7 Dial 0
L322 Dial 7
R948 Dial 85
R67 Dial 33
R45 Dial 0
R5 Dial 45
R63 Dial 50
R3 Dial 13
L416 Dial 16
L9 Dial 0
L91 Dial 91
R41 Dial 0
L341 Dial 41
L35 Dial 0
R35 Dial 65
L390 Dial 0
R90 Dial 10
R20 Dial 0
L20 Dial 20
L78 Dial 0
R35 Dial 22
R96 Dial 57
L48 Dial 53
L59 Dial 5
R169 Dial 46
L22 Dial 15
R607 Dial 93
R82 Dial 0
L73 Dial 82
R91 Dial 9
L881 Dial 0
L19 Dial 19
R55 Dial 0
R68 Dial 55
L23 Dial 23
L844 Dial 0
L579 Dial 56
R131 Dial 77
R59 Dial 8
L63 Dial 67
L6 Dial 4
L58 Dial 98
L75 Dial 40
R17 Dial 65
R5 Dial 82
L5 Dial 87
L579 Dial 82
R20 Dial 3
L658 Dial 23
R14 Dial 65
L659 Dial 79
L432 Dial 20
L80 Dial 88
R47 Dial 8
R9 Dial 55
L53 Dial 64
R503 Dial 11
L89 Dial 14
L25 Dial 25
R6 Dial 0
L61 Dial 6
L68 Dial 45
R23 Dial 77
R12 Dial 0
L12 Dial 12
R53 Dial 0
L94 Dial 53
L64 Dial 59
R5 Dial 95
R17 Dial 0
R83 Dial 17
L33 Dial 0
R71 Dial 67
L38 Dial 38
L60 Dial 0
L40 Dial 40
R171 Dial 0
L28 Dial 71
R45 Dial 43
L441 Dial 88
R83 Dial 47
L68 Dial 30
L151 Dial 62
R89 Dial 11
L183 Dial 0
L217 Dial 17
R157 Dial 0
R88 Dial 57
R33 Dial 45
L4 Dial 78
R38 Dial 74
R888 Dial 12
R45 Dial 0
R51 Dial 45
R77 Dial 96
L64 Dial 73
L9 Dial 9
R81 Dial 0
R419 Dial 81
R93 Dial 0
R7 Dial 93
R76 Dial 0
R24 Dial 76
L83 Dial 0
L17 Dial 17
R39 Dial 0
R81 Dial 39
L33 Dial 20
L87 Dial 87
R34 Dial 0
R59 Dial 34
L20 Dial 93
R27 Dial 73
L87 Dial 0
L33 Dial 13
L60 Dial 80
L21 Dial 20
L93 Dial 99
L271 Dial 6
R44 Dial 35
R73 Dial 79
R39 Dial 52
L991 Dial 91
R13 Dial 0
R87 Dial 13
L33 Dial 0
L82 Dial 67
R480 Dial 85
L3 Dial 65
L578 Dial 62
L84 Dial 84
L26 Dial 0
R79 Dial 74
R653 Dial 53
R94 Dial 6
R80 Dial 0
L80 Dial 80
R23 Dial 0
L423 Dial 23
L30 Dial 0
L87 Dial 70
L97 Dial 83
L86 Dial 86
R29 Dial 0
R61 Dial 29
R94 Dial 90
R16 Dial 84
L4 Dial 0
L96 Dial 96
L32 Dial 0
L9 Dial 68
R541 Dial 59
R2 Dial 0
R98 Dial 2
R5 Dial 0
R508 Dial 5
L22 Dial 13
L95 Dial 91
R4 Dial 96
L21 Dial 0
L79 Dial 79
R68 Dial 0
L468 Dial 68
L684 Dial 0
R84 Dial 16
L73 Dial 0
L48 Dial 27
R59 Dial 79
L77 Dial 38
L364 Dial 61
L97 Dial 97
L60 Dial 0
L740 Dial 40
R512 Dial 0
L248 Dial 12
L45 Dial 64
R81 Dial 19
L20 Dial 0
L48 Dial 80
R968 Dial 32
R880 Dial 0
L22 Dial 80
R42 Dial 58
R17 Dial 0
R750 Dial 17
L967 Dial 67
R1 Dial 0
R99 Dial 1
R15 Dial 0
R58 Dial 15
R27 Dial 73
R18 Dial 0
L70 Dial 18
L348 Dial 48
R68 Dial 0
L70 Dial 68
R921 Dial 98
R543 Dial 19
L62 Dial 62
R987 Dial 0
L87 Dial 87
L91 Dial 0
L31 Dial 9
R22 Dial 78
R88 Dial 0
L88 Dial 88
L13 Dial 0
R12 Dial 87
R40 Dial 99
L64 Dial 39
R64 Dial 75
L97 Dial 39
R80 Dial 42
L76 Dial 22
L746 Dial 46
R82 Dial 0
R18 Dial 82
L77 Dial 0
R782 Dial 23
L5 Dial 5
L111 Dial 0
L89 Dial 89
L634 Dial 0
L66 Dial 66
L73 Dial 0
R91 Dial 27
R82 Dial 18
L628 Dial 0
R95 Dial 72
R75 Dial 67
R58 Dial 42
R69 Dial 0
R27 Dial 69
L12 Dial 96
R16 Dial 84
R98 Dial 0
R53 Dial 98
R849 Dial 51
L65 Dial 0
L75 Dial 35
R58 Dial 60
R82 Dial 18
R65 Dial 0
L65 Dial 65
R82 Dial 0
R64 Dial 82
R13 Dial 46
L59 Dial 59
L297 Dial 0
R97 Dial 3
R21 Dial 0
L21 Dial 21
R787 Dial 0
L87 Dial 87
L811 Dial 0
R11 Dial 89
L45 Dial 0
L192 Dial 55
R8 Dial 63
L95 Dial 71
R21 Dial 76
R24 Dial 97
R56 Dial 21
R13 Dial 77
L590 Dial 90
R94 Dial 0
R6 Dial 94
R32 Dial 0
R68 Dial 32
R14 Dial 0
L44 Dial 14
L115 Dial 70
R840 Dial 55
R80 Dial 95
R557 Dial 75
R68 Dial 32
R52 Dial 0
R40 Dial 52
L92 Dial 92
R44 Dial 0
L116 Dial 44
R29 Dial 28
L70 Dial 57
L37 Dial 87
R42 Dial 50
R37 Dial 92
R24 Dial 29
L52 Dial 53
R29 Dial 1
L30 Dial 30
L9 Dial 0
R90 Dial 91
L1 Dial 81
R50 Dial 80
R61 Dial 30
R17 Dial 91
R31 Dial 8
R31 Dial 39
R30 Dial 70
R257 Dial 0
L57 Dial 57
R74 Dial 0
L674 Dial 74
R27 Dial 0
R973 Dial 27
R48 Dial 0
R77 Dial 48
L325 Dial 25
L68 Dial 0
R44 Dial 32
L76 Dial 76
R6 Dial 0
L11 Dial 6
L84 Dial 95
L11 Dial 11
R16 Dial 0
R61 Dial 16
R823 Dial 77
R37 Dial 0
L347 Dial 37
L33 Dial 90
L2 Dial 57
L55 Dial 55
L335 Dial 0
R86 Dial 65
R76 Dial 51
L27 Dial 27
R233 Dial 0
L10 Dial 33
R12 Dial 23
L178 Dial 35
L26 Dial 57
L44 Dial 31
R30 Dial 87
R483 Dial 17
L676 Dial 0
L32 Dial 24
R8 Dial 92
L65 Dial 0
L12 Dial 35
R77 Dial 23
R594 Dial 0
L75 Dial 94
L87 Dial 19
L32 Dial 32
R50 Dial 0
L59 Dial 50
R29 Dial 91
R80 Dial 20
R17 Dial 0
R52 Dial 17
R42 Dial 69
R598 Dial 11
L3 Dial 9
L75 Dial 6
L68 Dial 31
L93 Dial 63
R47 Dial 70
L27 Dial 17
R10 Dial 90
L16 Dial 0
L73 Dial 84
R89 Dial 11
L11 Dial 0
R11 Dial 89
R38 Dial 0
L38 Dial 38
R42 Dial 0
L42 Dial 42
L67 Dial 0
R267 Dial 33
R597 Dial 0
R3 Dial 97
L615 Dial 0
R12 Dial 85
L5 Dial 97
R424 Dial 92
R67 Dial 16
R17 Dial 83
L72 Dial 0
L63 Dial 28
L1 Dial 65
L41 Dial 64
R7 Dial 23
L67 Dial 30
L19 Dial 63
L14 Dial 44
R47 Dial 30
L77 Dial 77
L62 Dial 0
L25 Dial 38
R64 Dial 13
L96 Dial 77
L104 Dial 81
R5 Dial 77
R576 Dial 82
R76 Dial 58
L934 Dial 34
R91 Dial 0
L83 Dial 91
L35 Dial 8
L74 Dial 73
L48 Dial 99
L151 Dial 51
L310 Dial 0
L265 Dial 90
R72 Dial 25
